param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 1)",3,1.0,5.0,1.0,0.0,0.898053502288762,0.004178456890802826,0.8979304621014366,0.8987642044140047,0.898785427599619,0.897248145880854,0.10194649771123798,6.6170796871185305,0.7322222321523707,55
"(1, 1)",2,1.0,5.0,1.0,0.0,0.8979467209010858,0.004317140903289516,0.897786058677252,0.8985436391740059,0.8986443509127513,0.8971479040618897,0.10205327909891415,6.829256582260132,0.6653403373526237,56
"(1, 1)",3,0.95,5.0,1.0,0.0,0.8978850623257115,0.004858040418475713,0.8977857443011471,0.8985901028161785,0.8986428733718161,0.8970784098694002,0.10211493767428848,6.807393407821655,0.21888214762075306,57
"(1, 1)",5,1.0,0.5,0.9914618987149157,0.0005770758960804137,0.8978415401301649,0.006376702220126177,0.898075494277831,0.8984192072076553,0.8989146184825207,0.8971603263008046,0.09362035858475082,5.535009860992432,0.8259582440066328,58
"(1, 1)",5,0.95,0.5,0.9915333353174386,0.0006502558721084595,0.8977109524644252,0.005885570265678621,0.8979306716855066,0.8983050234351625,0.8987433931433099,0.8970342624759879,0.09382238285301336,5.06052827835083,0.17902766313928664,59
"(1, 1)",2,0.95,5.0,1.0,0.0,0.8975215754137036,0.004372634188719773,0.8973516956923138,0.898168072032357,0.8982113630075468,0.896713998749167,0.10247842458629641,6.71060848236084,0.44176486314103136,60
"(1, 1)",5,0.95,5.0,1.0,0.0,0.8973026509462242,0.004048827562624747,0.8972058251796398,0.8980352423374871,0.8980246123378729,0.8965229967921637,0.10269734905377581,6.723131370544434,0.11949040502882334,61
"(1, 1)",5,1.0,5.0,1.0,0.0,0.8971849398885254,0.0045324200090164,0.8970611073793503,0.8979175538235811,0.8979124348164687,0.8963809303439284,0.10281506011147457,7.6760800838470455,1.3444029494546736,62
"(1, 1)",2,0.95,0.5,0.993184585262239,0.00035234178687541026,0.8971584865227701,0.005065572687340094,0.897351276524174,0.8978085975493885,0.8982455092699404,0.896424121852052,0.09602609873946888,5.874158430099487,0.7135698850988454,63
"(1, 1)",3,0.95,0.5,0.9925963924364536,0.0004200726018501937,0.8970215550021697,0.0055856213861599485,0.8972065587238844,0.8977597185839141,0.8980227971110628,0.8963287681420165,0.09557483743428385,4.779001665115357,0.025917443185084852,64
"(1, 1)",2,1.0,0.5,0.993184585262239,0.00035234178687541026,0.8968750182262651,0.005397621133555373,0.8970616313395251,0.8975448437385882,0.8979747079499413,0.8961343240531073,0.09630956703597382,5.040896654129028,0.0781324294992941,65
"(1, 1)",5,0.9,5.0,1.0,0.0,0.8968648546939901,0.0038900557817564112,0.8967716717787715,0.8976075300055877,0.8975605739387078,0.8961140934804824,0.10313514530600987,6.659421777725219,0.3707232942071205,66
"(1, 1)",5,0.9,0.5,0.9913937643118412,0.0007030166231913983,0.8965349959413343,0.005831564732803298,0.8967721957389463,0.8971161882032682,0.8976207261722212,0.8958331149130861,0.09485876837050689,5.673157262802124,0.5586867282027184,67
"(1, 1)",3,1.0,0.5,0.9925963924364536,0.0004200726018501937,0.8964003197774773,0.006425518835061559,0.8966276875227267,0.8970562214193967,0.8974631825930348,0.8957093276646937,0.09619607265897634,6.231626653671265,1.5371086040864557,68
"(1, 1)",3,0.9,5.0,1.0,0.0,0.8960760765069834,0.005397823717767577,0.8959032601849998,0.8968201788668949,0.89672857992351,0.8952782090817063,0.1039239234930166,6.873610544204712,0.630734157881052,69
"(1, 1)",2,0.9,0.5,0.9932557508156996,0.0002930211299007017,0.8958328128437975,0.005560909626439513,0.8960482923613942,0.8964529582335619,0.896932620572184,0.895093716399469,0.09742293797190216,4.746966552734375,0.22681850279776913,70
"(1, 1)",2,0.9,5.0,1.0,0.0,0.8955503239881935,0.004988355519921813,0.8953245985679121,0.8962072217676418,0.8962413407806917,0.8946846401480683,0.10444967601180655,6.390756893157959,0.49283018656371963,71
"(1, 1)",3,0.9,0.5,0.9925274971960215,0.0005005811495549553,0.8952867569641301,0.005447285182016213,0.895614034168491,0.8959776512624014,0.8964360286358556,0.8946094341672856,0.09724074023189144,5.4194234848022464,0.6318946354391687,72
"(1, 2)",2,0.9,0.1,0.9630357833683707,0.0014488731758387286,0.8813606333067335,0.005215840495179038,0.8830176123973169,0.8840369427971956,0.883823286738193,0.8807881305702001,0.08167515006163717,17.550539875030516,0.6377145884752539,73
"(1, 2)",5,1.0,0.1,0.9629229011132378,0.00116914943656437,0.8812673779895691,0.005625550503614499,0.8828729993890624,0.8840670531280288,0.8837243343850091,0.8806689467298507,0.08165552312366864,17.128860807418825,0.6546030762638166,74
"(1, 2)",3,0.9,0.1,0.9629574846258073,0.0013162767567523256,0.8811975030127422,0.00530911720547754,0.8828728945970274,0.883886763036107,0.8836789865938929,0.8806245281190627,0.08175998161306508,17.60045223236084,0.5998666108359684,75
