param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 2)",5,0.9,0.5,0.9979914223691395,0.0005281831873680501,0.9082893914322139,0.005441498503219145,0.9086441901723934,0.9091630292584313,0.9093626043281875,0.9077434455436793,0.08970203093692564,18.50036883354187,0.7471881421367192,28
"(1, 2)",5,0.95,0.5,0.9979553473330645,0.00047998410838125555,0.9080990891955242,0.00541309267434347,0.908499472372104,0.9089657398749443,0.9092052979316533,0.9075879078251388,0.08985625813754028,18.645671796798705,1.428169950943737,29
"(1, 2)",2,1.0,0.5,0.9979162578988188,0.0004352978171393707,0.9079777546893318,0.005268771946864958,0.9083545449877446,0.9088751374256887,0.90905743293036,0.907455314554069,0.08993850320948693,17.952783346176147,0.16992848654817555,30
"(1, 2)",5,1.0,0.5,0.9979522875005568,0.0003879654730041393,0.9076854394004032,0.005088186016982005,0.9080651093871657,0.9085586175021488,0.9087728756973084,0.9071697490246164,0.09026684810015351,18.7085741519928,0.9132509485068244,31
"(1, 2)",3,0.9,0.5,0.9979523329348938,0.00047623072425187523,0.9076634149268274,0.004885455208379396,0.9080648998030958,0.9085448221953214,0.9087649863241054,0.9071438885466934,0.09028891800806638,18.06413154602051,1.1354387740392542,32
"(1, 2)",2,0.9,0.5,0.9979914223691395,0.0005281831873680501,0.9075461832867402,0.004842524131233465,0.9079199724187363,0.9084064079589937,0.9086333159694598,0.9070127011321988,0.09044523908239932,18.48950786590576,1.28228833282569,33
"(1, 2)",2,0.95,0.5,0.9979553473330645,0.00038429981231150647,0.9075330338401958,0.004927542158719029,0.9079201820028064,0.9084052549721507,0.9086345453136697,0.9070025694540108,0.09042231349286867,17.392348718643188,0.5929690490166628,34
"(1, 2)",3,0.95,0.5,0.9979162578988188,0.0004352978171393707,0.9075229571713062,0.004769744726624828,0.9079201820028062,0.9084192904802866,0.9086396656413708,0.9069961263841531,0.09039330072751262,19.19637656211853,1.3701902772067673,35
"(1, 2)",3,1.0,0.5,0.9979523329348938,0.00047623072425187523,0.9070901765246345,0.0049982519174539075,0.9074857142258331,0.9079658059389043,0.908178577796152,0.9065849492335548,0.0908621564102593,19.887232971191406,3.728991262324374,36
"(1, 1)",3,1.0,1.0,0.9979980013346049,0.0005071991348727764,0.9014742308176851,0.005885473637049744,0.9015501885732669,0.9021078509328738,0.9023948088550565,0.9007373920522221,0.09652377051691985,5.586868524551392,0.4399505510109934,37
"(1, 1)",3,0.95,1.0,0.9979980013346049,0.0005071991348727764,0.9010357464496901,0.005820943682907779,0.9011159303803637,0.9016402401907145,0.9019517788377691,0.9002998967644376,0.09696225488491483,6.1655529022216795,0.9652661973249723,38
"(1, 1)",2,1.0,1.0,0.9981466325798156,0.0004212495236508056,0.9010051310659636,0.005523670865184601,0.9011157207962937,0.9015606363217199,0.9019618208250442,0.9002920504945238,0.09714150151385204,6.054979705810547,0.24682302681854354,39
"(1, 1)",2,0.95,1.0,0.9981466325798156,0.0004212495236508056,0.9008987967555726,0.006207649735949309,0.9009711077880393,0.9014698544577406,0.9018422787320377,0.9001628889142111,0.09724783582424301,5.535011196136475,0.2032662016726872,40
"(1, 1)",5,0.95,1.0,0.9978192982961268,0.0004910570230160683,0.9007739167577469,0.005278407202099515,0.9008262851957148,0.9014263842479309,0.9016695239228902,0.9000251191762632,0.09704538153837994,5.297555303573608,0.17708964745789021,41
"(1, 1)",5,1.0,1.0,0.9978192982961268,0.0004910570230160683,0.900468891486838,0.005262665501104657,0.9005368495951359,0.9011434622877399,0.9013780728643441,0.8997190183075162,0.09735040680928886,5.295196008682251,0.15237023479694348,42
"(1, 1)",5,1.0,2.0,0.9994467351490869,0.00012837191611990504,0.9003036856142461,0.0049216762691869816,0.9002470996184522,0.9009961088771619,0.9011244675699654,0.8995236971426122,0.09914304953484077,6.332334041595459,0.7142030316231134,43
